show_id,tmdb_id,tmdb_title,tmdb_original_title,tmdb_media_type,tmdb_release_date,imdb_rating,imdb_votes,tmdb_popularity,tmdb_original_language,tmdb_adult
s3,130523,Ganglands,Braqueurs : La série,tv,2021-09-24,7.128,176,3.9282,fr,FALSE
s4,134678,Jailbirds New Orleans,Jailbirds New Orleans,tv,2021-09-24,5.583,6,0.7229,en,FALSE
s6,97400,Midnight Mass,Midnight Mass,tv,2021-09-24,7.5,1098,3.8317,en,FALSE
s7,597316,My Little Pony: A New Generation,My Little Pony: A New Generation,movie,2021-09-22,7.7,324,2.6909,en,FALSE
s10,468225,The Starling,The Starling,movie,2021-09-17,6.928,304,4.0292,en,FALSE
s11,132013,"Vendetta: Truth, Lies and The Mafia","Vendetta: Truth, Lies and The Mafia",tv,2021-09-24,6.9,17,0.5046,it,FALSE
s12,132158,Bangkok Breaking,มหานครเมืองลวง,tv,2021-09-23,6.7,59,1.1016,th,FALSE
s13,683641,Je suis Karl,Je suis Karl,movie,2021-09-16,5.3,56,1.9376,de,FALSE
s14,786705,Confessions of an Invisible Girl,Confissões de uma Garota Excluída,movie,2021-09-22,6.671,237,2.0369,pt,FALSE
s15,132583,Crime Stories: India Detectives,Crime Stories: India Detectives,tv,2021-09-22,6.5,6,0.5785,en,FALSE
s19,785752,Intrusion,Intrusion,movie,2021-09-22,5.9,729,1.5423,en,FALSE
s20,127425,Jaguar,Jaguar,tv,2021-09-22,7.2,89,1.3163,es,FALSE
s21,132105,Monsters Inside: The 24 Faces of Billy Milligan,Monsters Inside: The 24 Faces of Billy Milligan,tv,2021-09-22,6.974,76,0.9577,en,FALSE
s24,876576,Go! Go! Cory Carson: Chrissy Takes the Wheel,Go! Go! Cory Carson: Chrissy Takes the Wheel,movie,2021-09-21,5.893,28,0.3973,en,FALSE
s31,862701,Ankahi Kahaniya,अनकही कहानियाँ,movie,2021-09-17,5.8,15,0.4751,hi,FALSE
s32,130077,Chicago Party Aunt,Chicago Party Aunt,tv,2021-09-17,6.014,70,1.7718,en,FALSE
s34,93405,Squid Game,오징어 게임,tv,2021-09-17,7.86,16942,45.926,ko,FALSE
s36,840427,The Father Who Moves Mountains,Tata mută munții,movie,2021-07-23,5.8,92,1.4897,ro,FALSE
s37,637534,The Stronghold,BAC Nord,movie,2021-08-18,7.383,1370,3.9475,fr,FALSE
s41,96659,He-Man and the Masters of the Universe,He-Man and the Masters of the Universe,tv,2021-09-16,7.122,115,2.8386,en,FALSE
s46,866529,My Heroes Were Cowboys,My Heroes Were Cowboys,movie,2021-09-16,6.4,15,0.7884,en,FALSE
s65,739990,Nightbooks,Nightbooks,movie,2021-09-15,6.122,402,2.828,en,FALSE
s69,855823,Schumacher,Schumacher,movie,2021-09-14,7.278,430,2.7413,de,FALSE
s71,131589,Too Hot to Handle: Latino,Jugando con fuego: Latino,tv,2021-09-15,6.98,25,2.4731,es,FALSE
s72,874104,A StoryBots Space Adventure,A StoryBots Space Adventure,movie,2021-11-09,2,1,1.1528,en,FALSE
s75,127723,The World's Most Amazing Vacation Rentals,The World's Most Amazing Vacation Rentals,tv,2021-06-18,7.8,16,0.731,en,FALSE
s76,869589,You vs. Wild: Out Cold,You vs. Wild: Out Cold,movie,2021-09-14,5.7,23,0.6535,en,FALSE
s78,874467,Little Singham - Black Shadow,Little Singham - Black Shadow,movie,2021-05-09,10,1,0.0545,hi,FALSE
s81,523366,Dragon Rider,Dragon Rider,movie,2020-10-13,7.062,169,3.85,en,FALSE
s82,597891,Kate,Kate,movie,2021-09-10,6.632,1634,2.2485,en,FALSE
s84,130969,Metal Shop Masters,Metal Shop Masters,tv,2021-09-10,5.8,11,0.4611,en,FALSE
s87,853588,Prey,Prey,movie,2021-09-10,4.699,381,1.2192,de,FALSE
s89,861604,Blood Brothers: Malcolm X & Muhammad Ali,Blood Brothers: Malcolm X & Muhammad Ali,movie,2021-09-08,7.3,33,1.3193,en,FALSE
s92,866127,The Women and the Murderer,Les femmes et l'assassin,movie,2021-09-09,6.192,39,0.5377,fr,FALSE
s93,138966,Night in the Greater Bay,大湾仔的夜,tv,2021-11-17,0,0,1.3747,zh,FALSE
s94,726916,JJ+E,Vinterviken,movie,2021-09-08,5.799,159,1.0557,sv,FALSE
s96,120836,The Kalkan Circles,Kalkanski krugovi,tv,2021-03-13,6,3,0.6726,sr,FALSE
s98,116249,Kid Cosmic,Kid Cosmic,tv,2021-02-02,8,79,1.9526,en,FALSE
s99,132983,Octonauts: Above & Beyond,Octonauts: Above & Beyond,tv,2021-09-07,8.8,15,4.0239,en,FALSE
s100,127108,On the Verge,On the Verge,tv,2021-09-06,4.7,19,2.217,fr,FALSE
s102,862582,Untold: Breaking Point,Untold: Breaking Point,movie,2021-09-07,7.5,46,1.7907,en,FALSE
s103,130521,Countdown: Inspiration4 Mission to Space,Countdown: Inspiration4 Mission to Space,tv,2021-09-06,6.9,74,0.7964,en,FALSE
s109,131830,Dive Club,Dive Club,tv,2021-05-29,7,31,1.6434,en,FALSE
s110,132719,Money Heist: From Tokyo to Berlin,La Casa de Papel: de Tokio a Berlín,tv,2021-09-03,8.167,225,2.952,es,FALSE
s111,132719,Money Heist: From Tokyo to Berlin,La Casa de Papel: de Tokio a Berlín,tv,2021-09-03,8.167,225,2.952,es,FALSE
s112,130688,Sharkdog,Sharkdog,tv,2021-09-03,8.4,21,2.513,en,FALSE
s113,649394,Worth,Worth,movie,2021-07-21,6.7,358,3.2374,en,FALSE
s114,785457,Afterlife of the Party,Afterlife of the Party,movie,2021-09-02,6.713,471,1.1938,en,FALSE
s118,728125,Final Account,Final Account,movie,2021-05-21,7.4,20,0.9057,de,FALSE
s126,128036,Q-Force,Q-Force,tv,2021-09-02,6.645,128,1.8025,en,FALSE
